# Karancho tst
000000000;1346086945;0;MVARIO; 
000000000;1346086945;1;Vario;m/s
000000000;1346086945;2;Abs. altit;m
000000000;1346086945;3;Rel. altit;m
000000000;1346086945;4;Air press.;hPa
000000000;1346086945;5;Temp.;°C
000000000;1426827393;0;MT-125; 
000000000;1426827393;1;Temp. A;°C
000000000;1426827393;2;Temp. B;°C
1610703441;1346086945;4;4;2;98445
1610703441;1346086945;5;1;1;291
1610703641;1346086945;1;1;1;1
1610703641;1346086945;2;1;1;2674
1610703641;1346086945;3;1;1;4294967175
1610703641;1346086945;4;4;2;98446
1610703641;1346086945;5;1;1;291
1610704043;1346086945;1;1;1;0
1610704043;1346086945;2;1;1;2674
1610704043;1346086945;3;1;1;4294967175
1610704043;1346086945;4;4;2;98446
1610704046;1346086945;5;1;1;291
1610704241;1346086945;1;1;1;0
1610704241;1346086945;2;1;1;2674
1610704241;1346086945;3;1;1;4294967175
1610704241;1346086945;4;4;2;98446
1610704241;1346086945;5;1;1;291
1610704457;1346086945;1;1;1;0
1610704457;1346086945;2;1;1;2674
1610704457;1346086945;3;1;1;4294967175
1610704457;1346086945;4;4;2;98446
1610704457;1346086945;5;1;1;291
1610704641;1346086945;1;1;1;0
1610704641;1346086945;2;1;1;2674
1610704641;1346086945;3;1;1;4294967175
1610704641;1346086945;4;4;2;98446
1610704643;1346086945;5;1;1;291
1610704841;1346086945;1;1;1;0
1610704841;1346086945;2;1;1;2675
1610704841;1346086945;3;1;1;4294967176
1610704841;1346086945;4;4;2;98445
1610704841;1346086945;5;1;1;291
1610705243;1346086945;1;1;1;1
1610705243;1346086945;2;1;1;2675
1610705243;1346086945;3;1;1;4294967176
1610705243;1346086945;4;4;2;98445
1610705243;1346086945;5;1;1;291
1610705441;1346086945;1;1;1;1
1610705441;1346086945;2;1;1;2675
1610705441;1346086945;3;1;1;4294967176
1610705441;1346086945;4;4;2;98445
1610705441;1346086945;5;1;1;291
1610705641;1346086945;1;1;1;0
1610705641;1346086945;2;1;1;2675
1610705641;1346086945;3;1;1;4294967176
1610705641;1346086945;4;4;2;98445
1610705641;1346086945;5;1;1;291
1610705841;1346086945;1;1;1;0
1610705841;1346086945;2;1;1;2676
1610705841;1346086945;3;1;1;4294967177
1610705841;1346086945;4;4;2;98444
1610705841;1346086945;5;1;1;291
1610706041;1346086945;1;1;1;0
1610706041;1346086945;2;1;1;2675
1610706041;1346086945;3;1;1;4294967176
1610706041;1346086945;4;4;2;98445
1610706041;1346086945;5;1;1;291
1610706443;1346086945;1;1;1;1
1610706443;1346086945;2;1;1;2676
1610706443;1346086945;3;1;1;4294967177
1610706443;1346086945;4;4;2;98444
1610706443;1346086945;5;1;1;291
1610706641;1346086945;1;1;1;1
1610706641;1346086945;2;1;1;2676
1610706641;1346086945;3;1;1;4294967177
1610706641;1346086945;4;4;2;98444
1610706641;1346086945;5;1;1;291
1610707041;1346086945;1;1;1;2
1610707041;1346086945;2;1;1;2677
1610707041;1346086945;3;1;1;4294967178
1610707041;1346086945;4;4;2;98443
1610707041;1346086945;5;1;1;291
1610707241;1346086945;1;1;1;2
1610707241;1346086945;2;1;1;2677
1610707241;1346086945;3;1;1;4294967178
1610707241;1346086945;4;4;2;98443
1610707241;1346086945;5;1;1;291
1610707443;1346086945;1;1;1;0
1610707443;1346086945;2;1;1;2677
1610707443;1346086945;3;1;1;4294967178
1610707443;1346086945;4;4;2;98443
1610707443;1346086945;5;1;1;291
1610707643;1346086945;1;1;1;0
1610707643;1346086945;2;1;1;2676
1610707643;1346086945;3;1;1;4294967177
1610707643;1346086945;4;4;2;98444
1610707643;1346086945;5;1;1;291
1610707841;1346086945;1;1;1;0
1610707841;1346086945;2;1;1;2676
1610707841;1346086945;3;1;1;4294967177
1610707841;1346086945;4;4;2;98444
1610707841;1346086945;5;1;1;291
1610708241;1346086945;1;1;1;4294967295
1610708241;1346086945;2;1;1;2676
1610708241;1346086945;3;1;1;4294967177
1610708241;1346086945;4;4;2;98444
1610708241;1346086945;5;1;1;291
1610708441;1346086945;1;1;1;4294967295
1610708441;1346086945;2;1;1;2676
1610708441;1346086945;3;1;1;4294967177
1610708441;1346086945;4;4;2;98444
1610708441;1346086945;5;1;1;291
1610708643;1346086945;1;1;1;0
1610708643;1346086945;2;1;1;2676
1610708643;1346086945;3;1;1;4294967177
1610708643;1346086945;4;4;2;98444
1610708643;1346086945;5;1;1;291
1610708841;1346086945;1;1;1;0
1610708841;1346086945;2;1;1;2676
1610708841;1346086945;3;1;1;4294967177
1610708841;1346086945;4;4;2;98444
1610708841;1346086945;5;1;1;291
1610709041;1346086945;1;1;1;0
1610709041;1346086945;2;1;1;2676
1610709041;1346086945;3;1;1;4294967177
1610709041;1346086945;4;4;2;98444
1610709041;1346086945;5;1;1;291
1610709241;1346086945;1;1;1;0
1610709241;1346086945;2;1;1;2676
1610709241;1346086945;3;1;1;4294967177
1610709241;1346086945;4;4;2;98444
1610709241;1346086945;5;1;1;291
1610709441;1346086945;1;1;1;0
1610709441;1346086945;2;1;1;2676
1610709441;1346086945;3;1;1;4294967177
1610709441;1346086945;4;4;2;98444
1610709441;1346086945;5;1;1;291
1610709641;1346086945;1;1;1;0
1610709641;1346086945;2;1;1;2676
1610709641;1346086945;3;1;1;4294967177
1610709641;1346086945;4;4;2;98444
1610709641;1346086945;5;1;1;291
1610709843;1346086945;1;1;1;4294967295
1610709845;1346086945;2;1;1;2675
1610709845;1346086945;3;1;1;4294967176
1610709845;1346086945;4;4;2;98445
1610709845;1346086945;5;1;1;291
1610710062;1346086945;1;1;1;4294967295
1610710062;1346086945;2;1;1;2676
1610710062;1346086945;3;1;1;4294967177
1610710062;1346086945;4;4;2;98444
1610710062;1346086945;5;1;1;291
1610710241;1346086945;1;1;1;4294967295
1610710241;1346086945;2;1;1;2676
1610710241;1346086945;3;1;1;4294967177
1610710241;1346086945;4;4;2;98444
1610710241;1346086945;5;1;1;291
1610710641;1346086945;1;1;1;0
1610710641;1346086945;2;1;1;2677
1610710641;1346086945;3;1;1;4294967178
1610710641;1346086945;4;4;2;98443
1610710641;1346086945;5;1;1;291
1610710843;1346086945;1;1;1;0
1610710843;1346086945;2;1;1;2677
1610710843;1346086945;3;1;1;4294967178
1610710843;1346086945;4;4;2;98443
1610710843;1346086945;5;1;1;291
1610711043;1346086945;1;1;1;0
1610711043;1346086945;2;1;1;2677
1610711043;1346086945;3;1;1;4294967178
1610711043;1346086945;4;4;2;98443
1610711043;1346086945;5;1;1;291
1610711241;1346086945;1;1;1;0
1610711241;1346086945;2;1;1;2677
1610711241;1346086945;3;1;1;4294967178
1610711241;1346086945;4;4;2;98443
1610711241;1346086945;5;1;1;291
1610711441;1346086945;1;1;1;0
1610711441;1346086945;2;1;1;2676
1610711441;1346086945;3;1;1;4294967177
1610711441;1346086945;4;4;2;98444
1610711441;1346086945;5;1;1;291
1610711641;1346086945;1;1;1;4294967295
1610711641;1346086945;2;1;1;2676
1610711641;1346086945;3;1;1;4294967177
