# Karancho
000000000;1346086945;0;MVARIO; 
000000000;1346086945;1;Vario;m/s
000000000;1346086945;2;Abs. altit;m
000000000;1346086945;3;Rel. altit;m
000000000;1346086945;4;Air press.;hPa
000000000;1346086945;5;Temp.;°C
000000000;1426827393;0;MT-125; 
000000000;1426827393;1;Temp. A;°C
000000000;1426827393;2;Temp. B;°C
1275052027;1346086945;2;1;1;3989
1275052027;1346086945;3;1;1;1195
1275052027;1346086945;4;4;2;95114
1275052027;1346086945;5;1;1;254
1275052262;1346086945;1;1;1;23
1275052262;1346086945;2;1;1;3993
1275052262;1346086945;3;1;1;1199
1275052262;1346086945;4;4;2;95110
1275052262;1346086945;5;1;1;254
1275052856;1346086945;1;1;1;1
1275052857;1346086945;2;1;1;3993
1275052857;1346086945;3;1;1;1199
1275052857;1346086945;4;4;2;95110
1275052858;1346086945;5;1;1;254
1275053030;1346086945;1;1;1;1
1275053030;1346086945;2;1;1;3990
1275053030;1346086945;3;1;1;1196
1275053030;1346086945;4;4;2;95113
1275053030;1346086945;5;1;1;254
1275053225;1346086945;1;1;1;1
1275053225;1346086945;2;1;1;3987
1275053225;1346086945;3;1;1;1193
1275053225;1346086945;4;4;2;95116
1275053225;1346086945;5;1;1;254
1275053631;1346086945;1;1;1;4294967288
1275053631;1346086945;2;1;1;3980
1275053631;1346086945;3;1;1;1186
1275053631;1346086945;4;4;2;95125
1275053633;1346086945;5;1;1;254
1275053831;1346086945;1;1;1;4294967288
1275053831;1346086945;2;1;1;3974
1275053831;1346086945;3;1;1;1180
1275053831;1346086945;4;4;2;95131
1275053831;1346086945;5;1;1;254
1275054052;1346086945;1;1;1;4294967286
1275054052;1346086945;2;1;1;3968
1275054052;1346086945;3;1;1;1174
1275054052;1346086945;4;4;2;95138
1275054053;1346086945;5;1;1;254
1275054230;1346086945;1;1;1;4294967286
1275054230;1346086945;2;1;1;3962
1275054230;1346086945;3;1;1;1168
1275054230;1346086945;4;4;2;95145
1275054232;1346086945;5;1;1;254
1275054430;1346086945;1;1;1;4294967286
1275054430;1346086945;2;1;1;3956
1275054430;1346086945;3;1;1;1162
1275054430;1346086945;4;4;2;95152
1275054430;1346086945;5;1;1;254
